symbol,bc,ac,tbv,tav,time,mp
PIRATE-USD,171395.93,559614.00,1378715.10,870033.90,1718748804516,0.2124
PYUSD-USD,330047.81,4258651.99,2931673.62,225071.62,1718748804588,0.9987
ORN-USD,265800.93,3587798.38,221333.46,245554.23,1718748804604,1.771
CLV-USD,62543.44,42296132.67,1853745.61,24955801.97,1718748805015,0.0515
NMR-USD,139950.76,2527698.67,14564.82,29305.55,1718748805047,17.54
MASK-USD,106287.04,2261364.19,50330.59,159470.13,1718748806480,2.42
KARRAT-USD,260955.13,6766767.15,419662.90,1542782.95,1718748807299,0.75
AERGO-USD,50079.51,1000557.27,943792.10,3030731.90,1718748807608,0.0822
TNSR-USD,143208.48,2979898.91,257190.71,625682.25,1718748807617,0.637
BAL-USD,35343.47,2080899.26,35460.25,112385.80,1718748807938,3.1
WAXL-USD,146334.07,11510268.76,265140.02,219476.63,1718748808630,0.6651
PUNDIX-USD,42967.17,1209974.31,1297429.22,273415.61,1718748810215,0.3625
RPL-USD,70075.15,740683.14,4687.53,13233.39,1718748811954,27.34
MUSE-USD,56108.63,9100300.18,28325.61,62630.21,1718748812639,10.108
RENDER-USD,155133.25,5661895.25,59012.16,106971.87,1718748813666,7.163
VOXEL-USD,21682.01,2635735.05,530293.60,680899.49,1718748813885,0.1658
VOXEL-USD,22205.61,2635735.05,533487.29,680899.49,1718748814123,0.1658
PYUSD-USD,330047.81,4258651.99,2931673.62,225071.62,1718748814882,0.9987
HONEY-USD,77788.98,1013139699.45,1552054.90,16094454.60,1718748816430,0.0611
